Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
JenkinnsTest,Chrome 67.0.3396.99,,2018-07-26 15:17:46,2018-07-26 15:18:01,14.385s,PASSED
,,,,,,
Test Cases/CustomKeywords/costomkey,Chrome 67.0.3396.99,,2018-07-26 15:17:47,2018-07-26 15:17:47,0.326s,PASSED
newpakage.hello.prinln,Chrome 67.0.3396.99,,2018-07-26 15:17:47,2018-07-26 15:17:47,0.010s,PASSED
newpakage.hello.printName,Chrome 67.0.3396.99,,2018-07-26 15:17:47,2018-07-26 15:17:47,0.002s,PASSED
newpakage.hello.printName,Chrome 67.0.3396.99,,2018-07-26 15:17:47,2018-07-26 15:17:47,0.001s,PASSED
newpakage.hello.prinln,Chrome 67.0.3396.99,,2018-07-26 15:17:47,2018-07-26 15:17:47,0.001s,PASSED
newpakage.hello.CalcilateSum,Chrome 67.0.3396.99,,2018-07-26 15:17:47,2018-07-26 15:17:47,0.001s,PASSED
newpakage.hello.CalcilateSumshobha,Chrome 67.0.3396.99,,2018-07-26 15:17:47,2018-07-26 15:17:47,0.002s,PASSED
,,,,,,
Test Cases/CustomKeywords/JenkinsTest,Chrome 67.0.3396.99,,2018-07-26 15:17:47,2018-07-26 15:18:01,13.816s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 15:17:47,2018-07-26 15:17:50,2.737s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 15:17:50,2018-07-26 15:17:56,5.947s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 15:17:56,2018-07-26 15:17:56,0.139s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 15:17:56,2018-07-26 15:17:56,0.270s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 15:17:56,2018-07-26 15:18:00,3.970s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 15:18:00,2018-07-26 15:18:01,0.643s,PASSED
